id,url,title,date,imageUrl,thumbUrl
317631,http://lbry-web-007.amnh.org/digital/items/show/66307,"Mr. Belmore Browne and Dr. James L. Clark with sketch model of Alaska Brown Bear Group, November, 1940",1940-11,http://lbry-web-007.amnh.org/digital/files/original/d2bf7e324fc30fb4387c098df1503f22.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/d2bf7e324fc30fb4387c098df1503f22.jpg
317628,http://lbry-web-007.amnh.org/digital/items/show/66306,"Alaska Moose Group, for Hall of North American Mammals, 1940",1940-11,http://lbry-web-007.amnh.org/digital/files/original/df98187c9a6720f7ea62ef98e7fb7797.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/df98187c9a6720f7ea62ef98e7fb7797.jpg
317620,http://lbry-web-007.amnh.org/digital/items/show/66305,"Facade of the New York State Theodore Roosevelt Building, showing statue in position, [main Museum entrance, Central Park West] October, 1940",1940-10,http://lbry-web-007.amnh.org/digital/files/original/c13f2fb17ee6b424e2d040186afbc989.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/c13f2fb17ee6b424e2d040186afbc989.jpg
317615,http://lbry-web-007.amnh.org/digital/items/show/66304,"Hopi pueblo, November, 1911",1940-11,http://lbry-web-007.amnh.org/digital/files/original/005c0abd99cbef4fe8d40989fc11bed1.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/005c0abd99cbef4fe8d40989fc11bed1.jpg
317590,http://lbry-web-007.amnh.org/digital/items/show/66303,"Pareiasaurus skeleton, left side, October, 1940",1940-10,http://lbry-web-007.amnh.org/digital/files/original/e77005a7368c3cc2301b05164bb4b32c.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/e77005a7368c3cc2301b05164bb4b32c.jpg
317575,http://lbry-web-007.amnh.org/digital/items/show/66302,"Carlton E. McKinley working on cactus plant, September, 1940",1940-09,http://lbry-web-007.amnh.org/digital/files/original/fcfb7c2098ab9b494bda5fe68a793fdb.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/fcfb7c2098ab9b494bda5fe68a793fdb.jpg
317522,http://lbry-web-007.amnh.org/digital/items/show/66301,"Bull Moose for Alaska Moose Group, Hall of North American Mammals, June, 1940",1940-06,http://lbry-web-007.amnh.org/digital/files/original/b1716f0e972c969fb01529ac0d729cb2.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/b1716f0e972c969fb01529ac0d729cb2.jpg
317499,http://lbry-web-007.amnh.org/digital/items/show/66300,"Lantern Slide Catalogue, cover, American Museum of Natural History, May, 1940",1940-05,http://lbry-web-007.amnh.org/digital/files/original/5757c606364914346692e674607db591.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/5757c606364914346692e674607db591.jpg
317359,http://lbry-web-007.amnh.org/digital/items/show/66299,"Three grizzly bears prepared for group in the Hall of North American Mammals, December, 1939",1939-12,http://lbry-web-007.amnh.org/digital/files/original/ead6a98a2dcaf590cccd045429f697aa.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/ead6a98a2dcaf590cccd045429f697aa.jpg
316241,http://lbry-web-007.amnh.org/digital/items/show/66290,"Elk mounted with preparations for background for group in the Hall of North American Mammals, December, 1939",1939-12,http://lbry-web-007.amnh.org/digital/files/original/bc668fc16e059dabbdabf6e4904db702.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/bc668fc16e059dabbdabf6e4904db702.jpg
316239,http://lbry-web-007.amnh.org/digital/items/show/66289,"Elk mounted with preparations for background for group in the Hall of North American Mammals, December, 1939",1939-12,http://lbry-web-007.amnh.org/digital/files/original/301c7bd0037dda2c33712f851c90f491.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/301c7bd0037dda2c33712f851c90f491.jpg
316136,http://lbry-web-007.amnh.org/digital/items/show/66288,"Arrangement of four Chinese bronzes, 1939",1939,http://lbry-web-007.amnh.org/digital/files/original/5657b87fb9ffd883c2f45a7039b4ac8d.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/5657b87fb9ffd883c2f45a7039b4ac8d.jpg
315882,http://lbry-web-007.amnh.org/digital/items/show/66285,"Panda standing upright, Panda Group, Hall of Asian Mammals, March, 1939",1939-03,http://lbry-web-007.amnh.org/digital/files/original/25e4adcfc0f66cb44bdb6a3e79a9f118.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/25e4adcfc0f66cb44bdb6a3e79a9f118.jpg
315850,http://lbry-web-007.amnh.org/digital/items/show/66284,"Big Horn Sheep Group, depicting Alberta, Canada, Hall of North American Mammals, January, 1939",1939-01,http://lbry-web-007.amnh.org/digital/files/original/72588fdb30e45defae07ec25fb99f3b0.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/72588fdb30e45defae07ec25fb99f3b0.jpg
315848,http://lbry-web-007.amnh.org/digital/items/show/66283,"Head of Siberian Tiger, front view, [Hall of Asian Mammals or North Asiatic Hall] January, 1939",1939-01,http://lbry-web-007.amnh.org/digital/files/original/44efee09fe7cf354df386fff6bc76a62.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/44efee09fe7cf354df386fff6bc76a62.jpg
315738,http://lbry-web-007.amnh.org/digital/items/show/66281,"Imaginary representation of one possible cause of the End of the World, our sun vastly increasing its output of energy, painting, Hayden Planetarium, October, 1938",1938-10,http://lbry-web-007.amnh.org/digital/files/original/4104194217d44667c1593593703860b7.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/4104194217d44667c1593593703860b7.jpg
315713,http://lbry-web-007.amnh.org/digital/items/show/66278,"Styracosaurus, model by Otto Falkenbach, American Museum of Natural History, August, 1938",1938-08,http://lbry-web-007.amnh.org/digital/files/original/94115cacf70987c4598495658e77daa4.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/94115cacf70987c4598495658e77daa4.jpg
315691,http://lbry-web-007.amnh.org/digital/items/show/66277,"Okapi Group, Hall of African Mammals, June, 1938",1938-06,http://lbry-web-007.amnh.org/digital/files/original/02b121076f53f191c710e817b7f57db4.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/02b121076f53f191c710e817b7f57db4.jpg
315548,http://lbry-web-007.amnh.org/digital/items/show/66273,"Dr. Frank M. Chapman, oil painting by by Charles Arthur Rose, 1938",1938-03,http://lbry-web-007.amnh.org/digital/files/original/b5c6df8c89281a1efdc74561d7f80370.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/b5c6df8c89281a1efdc74561d7f80370.jpg
315506,http://lbry-web-007.amnh.org/digital/items/show/66271,"Section of tree trunk showing method of collecting maple sap [Hall of Eastern Woodlands Indians], February, 1938",1938-02,http://lbry-web-007.amnh.org/digital/files/original/0dcc8af985b47cac8e5069748474c3bc.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/0dcc8af985b47cac8e5069748474c3bc.jpg
315447,http://lbry-web-007.amnh.org/digital/items/show/66269,"Restored skull of Sinanthropus pekinensis, front view, 1937",1937-12,http://lbry-web-007.amnh.org/digital/files/original/f4d6865d0abdb2c6b0d21c8abce708d9.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/f4d6865d0abdb2c6b0d21c8abce708d9.jpg
315382,http://lbry-web-007.amnh.org/digital/items/show/66268,"Gorilla Group, with text: Akeley African Hall, a Splendid Monument to a Vanishing Wilderness, October, 1937",1937-10,http://lbry-web-007.amnh.org/digital/files/original/ab944ea2a390a97b62140793ab9ce2e3.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/ab944ea2a390a97b62140793ab9ce2e3.jpg
